('tuuid', 'da1f0e1e-3edc-4728-b6f5-16fd932aab9b', '360yield')
('bizodata', 'vipssuxrfhmayjspngk6t39qb1maqbj6w3v2fn8dhubyqwkpxxdyvmgjpax8ecv8gjkcuzs63n8dndk3xjnu5rdcn31qiz5na0q4xglipgfwpcgip9nzkgn3bv1xq7wa44cdxrehrx6dw5yw5x4tgvveldzpvfrqw0lk5b29oiiex3ln3hiiyfpcn12nfdoouuuaipaiiekkqqtkgcszryosxwvqubyzw1is61ehs96veqicxesmx4greziisyfsh9rx7m1oso4fbyis0o2m7dsnrgwuisv9plppyxor3laipaxfdqqns5misjd2wnmedisa2odelig9wmgps0oiiucvjcpedltisep3jjsiibqbkliszfteet37ammvknbj8ut3cfglwfe7gpf4evoykatfo1xt01mgwism3umii9iideo4iielvfx1swjqt4viwvbr0pej7isvtnnibsdrbfh5zzvk1b2hesb3rhixqmsbmakhwaytjcaedl23lzebhtpbc90ehipcea82mtsvi0qbbmvx4mdkiiliiwiinnp8deseiicuxnutc5z9ylzk2nnijiix3wsgveeur9trm9amsccaxlr6ii0trdms0bba0qg6csjkm3d7kzuoriifhqiwyarhlqgk2rsvdeud9xdlouretkpqnpbiiyipbisnwb0nrpekvdefzhywhd4ftfq3ksuswkusmje5cmlaumwmsg0t8rhk0iiblta9lukqbv41hgq6rdwqqgxgg7ip5zriipdkpckp7i4zrmzdsux1lrwd0rdeodtmtnnotouzsmxyipnn9qfd9ed8ahjr2fgdez1hysfbr3chau2xwtyvdfxyqvkvkl6ku8jpfgcsii8ludd4mtrdg6ybmbdneewvjtb2iisz7mtslqj31hobuf7ip0llz3vtn2dhd0xl2zfjzppa2v7kuzefgyggxgg7ip5zriipdkpckp7i4zrmzdsux1lrwd0rdeodtmtnnotouzsmxyipnn9qfd9ed8ahjr2fgdez1hysfbr3chau2xwtyvdfxyqvkvkl6ku8jpfgcsii8lucn7dagdnbfxaieie', 'bizographics')
('bizodata', 'wiie5uymobnqbsdwfpdteftqb1maqbj6w3v2fn8dhubyqwkpxxdyvmgjpax8ecv8gjkcuzs63n8dndk3xjnu5rdcn31qiz5naiiisjjgfzkvrvcgip9nzkgn3bv1xq7wa44cuyqtguxxoofyw5x4tgvvegxcnl4fldeadeiiqqb2rvmj7ipubzjzw9ucfii3ehpfnxipzk0ma07qdwb4eljwjcsllh8g306hxaismz16qmyys8ct7w65v0mregzy7zqp5jetvblowgpmer82qdraicurognw2x5z42okpgjwbdjis8s0dps9rvfviiv5uuwpd4gsa7whvvtc5ij9ytvr2jjzrsjyjwmjk8lrfaiimqjzbgyjkoipgyhxarbv035d86zr0iphuloii3u1faguezfmjhqh3cg08vf2cunii4riiu2wrbnbojkljw34anmj2xmuooip2uabht4wsziigexdlwgfhxkjhezuybb8ze6alvysvxsbqrhgzxqn30wpqszyrecwp2prdip18abwz4hois3tfl2fuoy1bbxwlhdetjtfnsvrcrw312klsryiiipplvi6x4arivc1hlrpmkuvktisehzjivvlobhsc4yf0btvnekiiqd792pbiizdpdgulkq4ziizezrztpun1aj5xcunncmcmx4greziisygoisykipkhogii1s1xogaugj0itkzqm3b2hlukejzekypkqnxeuptfsqhgjg3vxdjpipvq2ul4q8mqvkfjycphip19derjszcs6yamtlyytq6zaawbs3xgersigvmd2vsrafxjuczdpf3cpabeybv7lmui5tgh30gqnw1exknk7hutfz3st1451oa09ippi6qz49dd4031av314pywedis9koiiq7ipowdyc7lz4udftpv0de1hedl23lzebhtpbc90ehipcea82mtsvi0qbbmvx4mdkiiliijiscreecn0ziimene8hb9sx3cudmezuwctybwfxvcou5zmqfytj3nmsxmqe9qxpci81mgwism3umii9iideo4iielvfxnrpjqhaii1mvbr0pej7isvtnnibsdrbfhwa2zf8e8b7qb3rhixqmsbvnczipcrmhwyfln96h7ntw5qlfebkiujcsuqdvainsd5z94ymh6qjddp33adlffgvoulhznmycd3s82bsc6fnv4ie', 'bizographics')
('bizoid', '3bbb6d33-3b96-4f17-97ae-6a5e8bf8b681', 'bizographics')
('bkc', 'kjhq0ll9levrida2q6ly/y1eyn/qlt3ewrpfqzswrvs9xnlasomm9fpdu/dqypsmxfze2uepx4oc4wtrogre6harpbkboc1yxe9z9fvl91nqe8dcxuam1seyfqchiueprwh1yyrslixvlck1ejhqf3luvkilkhza4l1lwygdocgdvco43xzpntlsd2r/0gi9hmiwhmiahixlhmdf0aqkp6qmoiiqxgdqspet0qtg4ew6wimzdwumcdi4bigduhypfd/hn48c6sm0yq0g4aoxvdw8k0drsjtzjtj/uqrjwhedocg4oofslyk1qy8qkf9obt4ystjhiuen1et9zpu1qq==', 'bluekai')
('bkc', 'kjh5nan/pswdor9p5yjyu6rshz0vg1wunjpdogajh3/vqvldve/b/yiw4aqeuiw/xklr31yzq3vbvdqabivy/oe/hdosn43m7xsaqzj9bhf6ldmizfax4edpluw4kfios6uvpyjkl33bji9i3qbnpl7q/fvhaypfpdhabjt7qty4a7viz6330bbkaj0oxoglbzyifriuncyud3ph2q8v5wauwey8tgaqv+yleb1e8ww8bnym9zkrgybafpowoiw80ifid7f/okuwekiyp7h4cvln5j8/wb7me6zqxu800sycf+ssdkto7+gk9v4aoq0v4wqgmo3jl+zwihufycs2ci5bhr+8io+gc3yne2ssotfbqfuzyeoonmhrshblbxdvwqjkgkfftwk30qk2bvlacwvbsiiaqfx+zid8jgzcfavczt7x0hpvh8iuz6is0vbn7oyh7+z/eojnf4wzdosf4twujjyhm2q8p+gdbo23qxzsetfbcfuzyngprsl8lwbxbhdvzq2gpr5ncvp75fbe/fvivfhxwto2ub6n0u7ascaekx687q0ucyogff9kfa9djqx4xddsm6bu48jdaj2deroqo2ohxqu0yju9ix7u0qpu6x4/kxknfkmsp7xrv4lklsxeimf8cuzsgwlvrmxnujzjmovdudrwb3c+ilqk4n2wilk+bobngof2kkmgkrzcrjcp5htt7spnl5qpv+f2yf8rpj97jtpndbrbldzjdpmturhn8ud4ji+x8bud4zcdaxdsn6qxm+28jg5dl+wqmwvtx8bk/71cxdnomyulqpkxyfzayod8sbl4kzqfkimhany6nfsdfbhnffmoglpi3+2mxv7wpzld+5jisml+nxwbnuzufvdecuuw5b970vdjrte+82qspb6ejml7n+gwgqv4v64/vm5reduopa1ljvenjdcdw2umkamxighiudtcdcxfgq==', 'bluekai')
('bkc', 'kjh5na2/pawdof9pqyjyedrsh7vvnnww5uvvsvyuascarol+iapey9vcwbbcjhwwgu61psrex5csnvxy5haowdqa/ivmakch7xc9/1j9bhl6bfzipehilcwfridm2ytfvih0j0dgfb+gsq1iwfu2l2gecypjgobuipuzyl3tzzkoenh1nf7mg0/iqlz2kvwxqvpnpa7j/a2bhcnbvtgp8unvwui2n/sx2yt13l5pgxlbqiehrxdz6gvi5x/5jidnhi5nyemf/moyn3fnjogrgdyzggieuwqit/xrswulh+ob7l8m3u/niuao128snoltya4q6cx36hba9uo3e1en04lwgs1jbvn2rafjacpu8lakupv4c8ih8lasxty+kqevwacgc3pmj1te+kqovfbqcucgn4g9q5h4cezlaftj7wbk4h62ntviuktcl0olafn35embw8fox2cd0fafukeckd2msai+x04/m+28x874gdtaozat4hs+2zfswpx4szdozq2gprkn8lbsxts+iqymapd4nogwsxtc5rulilqiz0e0fmm6ieh34pi+yxk88sp0vfjvzcg8chyqsfiycro9w0/wcdqdtgnmacixf8m44xz9v04x14jjzfiwqwf/nxcnp2of0efj2klghkj6nk7fjehf9dgqihn8a3p2ngoleqg39h6k4ft9czcytd4+mwiicfmettqxsadlii5cg4m5ft5ap+hfteu07ginf+4sgc4thtgcwek3gwrln7g7odfwxvq/8bgkl0bgfuwy7pxltla7ti4esvnl7+grflzay/bxqutiushzq6qisykaw490zrcz9nq0oblgm6d8d4jk5acksj4bll4vvr2xfcii7iglvaesl2esebtn7nowir5cdjrxe+8tyh6kplsqhxif0sbafk4vtli+tte+82qspbtn7n+c0cor1jdmo0lwljymgockrf2dbzzr6x==', 'bluekai')
('bkcc', '1', 'bluekai')
('bkdc', 'dal', 'bluekai')
('bki1', 'kj0nukluw/vqqrsh9xhiqehqxvhk9q3fe/dlsrvlucij+66wzq449jklw/pls/uls1te9mf4sm/=', 'bluekai')
('bki1', 'kjyg24rjllday1e/99vkxbtaabtcmy2tgdfyastrq0oxfc/fllopd1q3qxvhkxzy0y3ncjo8ndn/v+zn/dmtiuygjoja8gzmxwbj/4biiywpjcgmxpsix9hbac7xolixecekqhxklha0f0avp2tzze4qwo7ujrtietvln9sjnt0wconfcjo8onatchtx25nwaul18yw916jbyq==', 'bluekai')
('bklc', '5344b027', 'bluekai')
('bklc', '534c4a72', 'bluekai')
('bko', 'kjpfjzl9anpvjjihyzsj70wvp9/9mlxwxx==', 'bluekai')
('bko', 'kj0qh1q9amn+wxp/yyeoybeiovn2azjquafg9zebkt4jdkbqrnqnkqnervo/orl8mwwph/np9x9diqxz', 'bluekai')
('bkou', 'kjhffzm9y1kxkanszoau78vvsjiqvye9wmysssajzsf+avigfnnctlmu005rvj0oqjzc/nm9mxcxpaew61qwiylnp10ufuty0yxjsaqru7/pdty0k+78zuaaclzjsvrzvuk9tzk9vessa+vif1ydrxjmz01eu6leut1p1t1n10bpzymefovkyx9kfix2', 'bluekai')
('bkst', 'kjy5pewvya9xxbwodzkmrvzgv9llq7jtl3pg6zawmffjex/ccuyyjd9gkcjwrmsbf/sjd4ldq4zwr9alssvpidcw9vtlsddcmz8fzznjdmutpi6hqzd4ub02tascdeog+hw1scihjujxdizgr2iwdmwav1oz7hdp7kc0znt6hqzn+ouqvmolbksfa5n79cwxzvnm7vsc+xhoo7ubcerdj2d3vy==', 'bluekai')
('bkst', 'kjykml+vcawxczlcv93isoahg0eg8ly870txhvmuzdpijpewlqzn6pjtsh65zmxei9hji7zynnn0ou0yn/mnfwam5b9g3w3dirl4q8ie9v+qg9i1zaiddg8/cythpesiwjvt679p2b4774trdso8b0buanbikkbw1znjk317h7gm39nd1fd06fe4oyyvtmwvq7dlyp4foxmqr3xrob0l/foubfb0fdkewzt949yvdzmn8ig5utpwhomtt2gzpyj19xm0n3og8groko4cz0xoe6zj9tsthvxg+osj8ljxvqu08c0ep8rgzzwlgzbcko5e0c+gsipngxez8pfnp069n91itpawijthsnak1m13sit8hrbdioq2a2chrvfv3c8pfffbb76eroaznr3gwqio71f2tefvpyiir1uc+ddx0iq9oc9ctt3+nlfsgd1rtw27hu4ftghf52moccev4m0gdow2cvq8oo5m5cqdfg7u8w1wvmcpyy==', 'bluekai')
('bku', 'seq99ym+ha1/dxla', 'bluekai')
('bkw5', 'kjpefvaqzsjjhuvqple90cobsgma8egy7rwckcleqpwwvcrsooori0asocsse9rum6h91azxsdmtsrb/fp8zoqerkyti', 'bluekai')
('bkw5', 'kjppkdn/pawrc+i82djpj6z16dme/3alvt0d7osmftivaucdawng+oo9wjcs/lh9abvzhpzejysjmer18v9dsachinvrcxtrqpgdzcu6xtvgp74mhubohlskztko28pf4b2fl7+zfh+9ka2gmqd6mcl9ytvtheu9luwqk0kev79xw6aqmuhgilzalrrprogt1dqlvbrrqkds79b9c+fcbgjsmvw91oea4ei71egrwq18zpq7gnpljerqiqvrnd9v2glhfk724srs0regmoxre/tugk+cqq1fctmruwz9ipkncfejus91j5914tgdhrsnugunusyipeigal1bncjnehw70t7fmvztopzmu1udmz/a8dcnhnhsrqz7adbsimmc2cakybawnltbpkz4i5mayrb7pc7mc8pwec1csfcfe7/m6y45u1ntlwyjpfppv05zmihcb5mkurk+j+rbimldtxxkvu6kldiax7np2lc3d5m/asvrk2vd5dl2aitwad/i4mlu2cb6y2ix8bzmf0u4taswv2e5ll+0ymix4dhrpsqz4nzr0nkgmb5eisz+vo058z2ek6mmpruliyu3mjd5l+jr7wd+8sptt3uoqsscesqifefcnjlt+jnxwggeefhygpo4ewgbigy0nj21umuberdzy8gdm20sxab8edgvmcavpumu/ptmh+b2ip6blonvjqhli7keqiozivafnwewtn7zfkmviyfwj1fdocqkqgfjplyujtfs595ny2f5dgsygfuzh1lddbnzkt4es6uspii627v27cjfesrddfyuc1jfmlqhhopd7s+vpk0we+sfsish503wpp5rzbvg3oclbeudjbr9w3ep0wl1k/ze34/rcbqb4ztotr8/8l08a/za8vvhukkbukrz3jelcnzcr5gj+8bqjwt5eby7ewislnkdfadvdnnxvgjbjptwc1/hzs56/y1jdkkhjj48yakld0pmzj7yzkojasr7shj8y6dny4f4feuu6eut6arngtupnqpzaxfk+1a6d9wkshbk', 'bluekai')
('bkw5', 'kjppkkn/anwrhddqlmfk+pz16dme/3alnr0duo4medygv6vgaungoaaciwipye1xcqhnd5sxhyxhotmdypfdav/xbt/ummybbsnxf/1i3wy3x8ypwvwbkj4kdomxpl7k8dzddlwtfgre1nzpoic9yqqe61sghs6yqqxotd0j1qof1kwaka/n+olh1lj0pkdhjysjkddvgnszyeg98no2gybgne9snwao2b+ekaqnov/zjhq7j/xoz2amvstkzcmxi1/htmkgfzkh1mahljwuisahdkem0wnqv8dgmohrtj2x2n8bltchk6rpdygx1ps5nt5rsxd36t0pscs7jevh8ochlgptz7mvz8gejy1zncnnmx24jmr6w/l8gjhu4wxcotfp7/xzl7cvzm8dh8pmnpbitjpcd1q8iechgjfd8ixlwnlumui1eyr4bjadkruws8wynclstum2ezksxqsckffknsfagmrhdvifiz8jprenebcw5ddb80bohbc8xemfq2zrer2cmtanxv8kdpw0vuowrwu5dqtmjtps3dfahapbfkz2r2kv9iwpjsjuiycvmlypg5ymjtk0kadhpzsv5kkgo6bbymaqfcjhmof4nc1sofbnmw+wi2hswq7aqmb7dvmvhy9kaqnmzkgl9dgwrfyvekrbd10yihp00cbqjmyxubwjmp3ahhagfyfwnk9b3vp9z/ktbikbourhq/xmywktafjkpsw1jv/yjn/2do8rrzbkzurkrhcef5xbrl4fvd1mnqxzq3smwmu4wjhs/pjix3vnniga+17pgw80xpiyepx5tarxznol+ag8zywbvmisw/72zk3rvae0vkopmywizxv5xvgczrfpewh1swd+6gdpnwo5svga4ynqrlgqcbx3adzbhar+xvvnpncpgphz9hxmopgzta13cykf+lwcn3kpegc8hhep7d4h1lvpyio52kz0tay8pcngcuhlr287atifqmlgncp8i+lpudl6q0zjqipe1f91kyyiyunnbm+9z+xb0eenzhslswxbwxlfybb9kmoaz07j/alofdx/d0jhia2otnitmlog1brgmnagmghlks4qe20ruqx=', 'bluekai')
('cmdd', 'aajnhgeaalr9aq**', 'casalemedia')
('cmid', 'rhajekps1j4aae7ruzyaaadn', 'casalemedia')
('cmps', '146', 'casalemedia')
